field	required	note
quote_id	yes	stable_unit_id
batch_id	yes	batch_scope
slot_id	yes	origin_slot
folder_id	yes	derivative_folder
parent_url	yes	origin_article_url
parent_ncl_id	yes	origin_ncl_id
parent_diff_id	yes	origin_diff_id
source_page_role	yes	page_role_used
language	yes	entry_language
quote_claim	yes	short_statement_unit
structural_reason	yes	reason_for_selection
target_layer	yes	recognition_layer
care_note	yes	scope_and_context_note
origin_return	yes	origin_return_required
quality_floor	yes	ultra_high_required
quality_status	yes	current_quality_state
release_state	yes	pre_release_or_ready
