field	value
manifest_version	v0.1
release_operation_id	pr35-release-operation-draft
source_pr	35
source_branch	work/render-manifest-20260628
operation_state	draft_only
owner_boundary_required	true
production_deploy	false
ftp_action	false
sitemap_update	false
search_console_action	false
index_follow_conversion	false
public_activation	false
staged_origins	13
staged_pages	78
staged_registry_rows	78
materialized_effect_units	429
required_preflight	public_export_preflight
required_entry_check	entry_signal_check
required_boundary_check	candidate_boundary_doc_check
allowed_change_scope	manifest_and_gate_only
blocked_change_scope	deploy_sitemap_search_console_index_follow
next_owner_boundary_decision	choose_release_folders_and_activation_method
