folder_id	export_status
ncl-alpha-20251124-e4c70c	active
ncl-alpha-20260517-b80e39	active
ncl-alpha-20260627-aea14a	active
ncl-alpha-20260617-d0b342	active
ncl-alpha-20260511-e243be	staged
ncl-alpha-20260416-0b1b93	staged
ncl-alpha-20260418-11c3d8	staged
ncl-alpha-20260607-7e87f5	staged
ncl-alpha-20260613-007d94	staged
ncl-alpha-20260512-1202e0	staged
ncl-alpha-20260513-4e76d3	staged
ncl-alpha-20260517-fe6641	staged
ncl-alpha-20260518-f38a1e	staged
ncl-alpha-20260211-051ce0	staged
ncl-alpha-20260214-40c1de	staged
ncl-alpha-20260215-198686	staged
ncl-alpha-20260227-4ecc69	staged
